group,runs,j_r_full,j_r_partial,j_l_full,j_l_partial,sink_fired
"('calendar_event', 'file')",455,4.2,3.3,2.4,9.0,19
"('calendar_event', 'text')",455,7.7,2.9,7.5,15.4,24
"('chat_message', 'file')",455,1.3,0.4,1.3,0.0,0
"('chat_message', 'text')",455,9.5,0.9,9.5,4.2,29
"('code_comment', 'file')",455,3.5,4.6,5.9,11.6,14
"('code_comment', 'text')",455,3.5,4.2,5.9,10.3,13
"('config_file', 'file')",455,2.4,4.2,3.1,11.2,9
"('config_file', 'text')",455,4.6,2.2,4.4,13.0,17
"('document', 'file')",455,7.3,1.1,6.6,7.5,16
"('document', 'text')",455,5.5,2.2,5.1,6.8,9
"('email_headers', 'file')",455,3.3,1.1,2.0,5.3,10
"('email_headers', 'text')",455,3.3,2.2,2.4,7.3,11
"('log_file', 'file')",455,2.4,2.4,1.8,5.3,4
"('log_file', 'text')",455,2.4,2.0,2.0,5.9,4
"('markdown', 'file')",455,2.9,0.7,2.9,5.9,2
"('markdown', 'text')",455,1.8,1.1,2.6,4.2,1
"('pdf_metadata', 'file')",455,3.3,2.9,4.0,7.5,8
"('pdf_metadata', 'text')",455,6.4,2.9,7.5,7.5,23
"('skills', 'file')",455,16.0,1.5,14.1,7.5,66
"('skills', 'text')",455,14.3,3.7,13.4,10.1,65
"('spreadsheet', 'file')",455,5.3,2.4,6.4,3.5,15
"('spreadsheet', 'text')",455,3.5,2.9,3.7,14.3,12
"('structured_data', 'file')",455,4.2,2.0,4.6,2.6,8
"('structured_data', 'text')",455,4.0,1.5,4.4,5.3,9
"('transaction_record', 'file')",455,4.0,1.8,3.3,5.5,12
"('transaction_record', 'text')",455,2.0,2.4,2.4,4.6,6
"('translation', 'file')",455,8.8,2.4,8.8,9.5,25
"('translation', 'text')",455,7.9,2.0,7.9,5.3,23
"('unicode_hidden', 'file')",455,25.5,0.0,14.7,16.9,168
"('unicode_hidden', 'text')",455,0.0,0.0,0.0,0.9,0
"('webpage', 'file')",455,4.4,1.1,4.4,4.0,11
"('webpage', 'text')",455,5.1,0.7,4.8,5.3,8
